Time (s),Avg NDVI,Dyn Min,Dyn Max,CPU (%),RAM (%)
0,-0.2468,-0.297,-0.181,51.9,74.8
1,-0.2468,-0.297,-0.181,51.9,74.8
2,-0.2474,-0.297,-0.182,60.0,73.4
3,-0.2474,-0.297,-0.182,60.0,73.4
4,-0.247,-0.297,-0.182,41.5,74.5
5,-0.247,-0.297,-0.182,41.5,74.5
6,-0.2485,-0.297,-0.184,41.2,74.2
7,-0.2485,-0.297,-0.188,41.2,74.2
8,-0.2503,-0.296,-0.189,42.7,74.8
9,-0.2503,-0.296,-0.191,42.7,74.8
10,-0.2425,-0.297,-0.182,41.1,74.8
11,-0.2425,-0.298,-0.173,41.1,74.8
12,-0.2488,-0.3,-0.165,41.1,74.7
13,-0.2488,-0.301,-0.167,41.1,74.7
14,-0.225,-0.301,-0.164,41.8,74.7
15,-0.225,-0.301,-0.162,41.8,74.7
16,-0.2328,-0.3,-0.158,40.8,74.9
17,-0.2328,-0.3,-0.156,40.8,74.9
18,-0.2466,-0.3,-0.159,40.7,75.7
19,-0.2466,-0.3,-0.163,40.7,75.7
20,-0.2488,-0.301,-0.163,40.5,75.7
21,-0.2488,-0.304,-0.163,40.5,75.7
22,-0.2475,-0.306,-0.163,42.1,75.7
23,-0.2475,-0.308,-0.162,42.1,75.7
24,-0.2408,-0.31,-0.16,41.4,76.0
25,-0.2408,-0.31,-0.159,41.4,76.0
26,-0.233,-0.309,-0.159,39.8,75.3
27,-0.233,-0.308,-0.159,39.8,75.3
28,-0.2461,-0.308,-0.161,41.2,75.4
29,-0.2461,-0.308,-0.163,41.2,75.4
30,-0.2384,-0.308,-0.163,42.1,75.7
31,-0.2384,-0.307,-0.165,42.1,75.7
32,-0.237,-0.307,-0.159,41.0,75.6
33,-0.237,-0.307,-0.153,41.0,75.6
34,-0.2236,-0.306,-0.141,43.0,75.9
35,-0.2236,-0.303,-0.129,43.0,75.9
36,-0.2348,-0.302,-0.122,41.0,75.3
37,-0.2348,-0.303,-0.118,41.0,75.3
38,-0.2469,-0.305,-0.12,42.8,76.3
39,-0.2469,-0.306,-0.128,42.8,76.3
40,-0.2497,-0.307,-0.136,41.7,76.4
41,-0.2497,-0.307,-0.143,41.7,76.4
42,-0.2504,-0.307,-0.146,40.8,76.6
43,-0.2504,-0.306,-0.152,40.8,76.6
44,-0.2446,-0.307,-0.155,41.5,76.7
45,-0.2446,-0.308,-0.156,41.5,76.7
46,-0.2464,-0.308,-0.157,40.9,76.5
47,-0.2464,-0.308,-0.159,40.9,76.5
48,-0.2487,-0.308,-0.162,40.3,77.2
49,-0.2487,-0.307,-0.164,40.3,77.2
50,-0.2363,-0.307,-0.164,40.5,77.0
51,-0.2363,-0.307,-0.163,40.5,77.0
52,-0.2438,-0.307,-0.163,41.0,76.7
53,-0.2438,-0.306,-0.163,41.0,76.7
54,-0.2499,-0.306,-0.165,40.8,76.7
55,-0.2499,-0.306,-0.168,40.8,76.7
56,-0.2454,-0.306,-0.169,40.8,77.0
57,-0.2454,-0.307,-0.168,40.8,77.0
58,-0.2495,-0.308,-0.168,40.9,76.7
59,-0.2495,-0.309,-0.167,40.9,76.7
